V,V_s,V_p
0.05,0.0043,0.005
0.1,0.0057,0.0056
0.15,0.0073,0.0062
0.2,0.0089,0.0068
0.25,0.0106,0.0074
0.3,0.0124,0.008
0.35,0.0138,0.0085
0.4,0.0147,0.0087
0.45,0.0164,0.0093
0.5,0.0182,0.0099
0.55,0.0197,0.0102
0.6,0.0222,0.011
0.65,0.0261,0.0123
0.7,0.0284,0.013
0.75,0.0303,0.0137
0.8,0.0323,0.0142
0.85,0.0351,0.015
0.9,0.0375,0.0158
0.95,0.0401,0.0166
1,0.0431,0.0177
1.05,0.0468,0.019
1.1,0.0497,0.02
1.15,0.0528,0.021
1.2,0.0565,0.0228
1.25,0.0594,0.0237
1.3,0.0624,0.0247
1.35,0.0653,0.0256
1.4,0.0683,0.0266
1.45,0.0713,0.0276
1.5,0.0739,0.0284
1.55,0.0759,0.029
1.6,0.0779,0.0295
1.65,0.0807,0.0302
1.7,0.0837,0.0309
1.75,0.0871,0.0319
1.8,0.0912,0.033
1.85,0.0937,0.0337
1.9,0.0965,0.0342
1.95,0.0998,0.0352
2,0.1049,0.0365
2.05,0.1085,0.0375
2.1,0.112,0.0385
2.15,0.1156,0.0394
2.2,0.1191,0.0404
2.25,0.1231,0.0415
2.3,0.1265,0.0428
2.35,0.1285,0.0429
2.4,0.1313,0.0437
2.45,0.1356,0.0449
2.5,0.1397,0.0461
2.55,0.1435,0.0471
2.6,0.1473,0.0482
2.65,0.151,0.0493
2.7,0.1547,0.0504
2.75,0.1558,0.0508
2.8,0.1603,0.0521
2.85,0.1642,0.0534
2.9,0.1684,0.0547
2.95,0.1725,0.0561
3,0.1762,0.0573
3.05,0.18,0.0588
3.1,0.1841,0.0603
3.15,0.1879,0.0618
3.2,0.1916,0.0631
3.25,0.1953,0.0646
3.3,0.1991,0.0661
3.35,0.203,0.0679
3.4,0.205,0.0693
3.45,0.208,0.0707
3.5,0.212,0.0723
3.55,0.216,0.0739
3.6,0.219,0.0756
3.65,0.223,0.0772
3.7,0.227,0.079
3.75,0.231,0.0806
3.8,0.235,0.0825
3.85,0.239,0.0843
3.9,0.243,0.0861
3.95,0.247,0.088
4,0.251,0.0898
4.05,0.255,0.0916
4.1,0.259,0.0934
4.15,0.26,0.095
4.2,0.262,0.095
4.25,0.269,0.0982
4.3,0.273,0.1004
4.35,0.278,0.1024
4.4,0.282,0.1044
4.45,0.286,0.1064
4.5,0.291,0.1085
4.55,0.295,0.1105
4.6,0.299,0.1126
4.65,0.304,0.1148
4.7,0.308,0.1169
4.75,0.313,0.1199
4.8,0.317,0.1203
4.85,0.321,0.1228
4.9,0.325,0.1249
4.95,0.329,0.1269
5,0.334,0.129
