V,V_s,V_p
0.05,0.0021,0.0017
0.1,0.003,0.0022
0.15,0.0042,0.0028
0.2,0.0055,0.0034
0.25,0.007,0.0041
0.3,0.0088,0.0049
0.35,0.0103,0.0056
0.4,0.0119,0.0063
0.45,0.0137,0.0071
0.5,0.0156,0.0078
0.55,0.0178,0.0085
0.6,0.0201,0.0092
0.65,0.0227,0.0099
0.7,0.0249,0.0105
0.75,0.0268,0.011
0.8,0.0295,0.0116
0.85,0.0322,0.0121
0.9,0.0348,0.0125
0.95,0.0372,0.0129
1,0.0398,0.0132
1.05,0.0425,0.0136
1.1,0.0451,0.0138
1.15,0.0478,0.014
1.2,0.0506,0.0143
1.25,0.0534,0.0144
1.3,0.0562,0.0145
1.35,0.0591,0.0146
1.4,0.062,0.0147
1.45,0.065,0.0147
1.5,0.0679,0.0147
1.55,0.071,0.0147
1.6,0.0739,0.0147
1.65,0.0769,0.0146
1.7,0.0802,0.0145
1.75,0.0832,0.0144
1.8,0.0864,0.0143
1.85,0.0894,0.0142
1.9,0.0925,0.0141
1.95,0.0958,0.014
2,0.0992,0.0139
2.05,0.1023,0.0138
2.1,0.1056,0.0136
2.15,0.1089,0.0135
2.2,0.1121,0.0134
2.25,0.1155,0.0132
2.3,0.1187,0.0131
2.35,0.122,0.013
2.4,0.1254,0.0129
2.45,0.1288,0.0128
2.5,0.1321,0.0127
2.55,0.1354,0.0126
2.6,0.1388,0.0125
2.65,0.1422,0.0124
2.7,0.1455,0.0123
2.75,0.1488,0.0122
2.8,0.1524,0.0122
2.85,0.1557,0.0121
2.9,0.1592,0.0121
2.95,0.1626,0.012
3,0.1658,0.012
3.05,0.1693,0.0119
3.1,0.1729,0.0119
3.15,0.1762,0.0119
3.2,0.1795,0.0119
3.25,0.1829,0.0119
3.3,0.1864,0.0119
3.35,0.1898,0.0119
3.4,0.1934,0.0119
3.45,0.1967,0.0119
3.5,0.199,0.0119
3.55,0.202,0.0119
3.6,0.206,0.0119
3.65,0.209,0.0119
3.7,0.213,0.0119
3.75,0.216,0.0119
3.8,0.219,0.012
3.85,0.223,0.012
3.9,0.227,0.0121
3.95,0.23,0.0121
4,0.234,0.0121
4.05,0.237,0.0121
4.1,0.24,0.0122
4.15,0.244,0.0122
4.2,0.247,0.0122
4.25,0.252,0.0123
4.3,0.255,0.0123
4.35,0.259,0.0122
4.4,0.262,0.0122
4.45,0.266,0.0123
4.5,0.27,0.0123
4.55,0.273,0.0124
4.6,0.277,0.0124
4.65,0.28,0.0125
4.7,0.284,0.0125
4.75,0.288,0.0126
4.8,0.291,0.0126
4.85,0.295,0.0126
4.9,0.299,0.0127
4.95,0.302,0.0127
5,0.306,0.0128
